method,strategy,label_fraction,seed,best_epoch,best_val_auc,test_accuracy,test_f1,test_auc
supervised_from_scratch,frozen,1%,42,3,0.799451279925324,0.70220947265625,0.755303676212448,0.8254354370621458
supervised_from_scratch,frozen,5%,42,15,0.8375043270680071,0.760772705078125,0.7894270287694415,0.8534666162724205
supervised_from_scratch,frozen,10%,42,13,0.8456395371589656,0.779052734375,0.7879444672251186,0.8491230629646409
supervised_from_scratch,partial,1%,42,7,0.8668152374529408,0.77703857421875,0.7671171745505546,0.8544634035554035
supervised_from_scratch,partial,5%,42,3,0.8873934006821929,0.76318359375,0.7931769722814499,0.8762674049925165
supervised_from_scratch,partial,10%,42,5,0.882583041046501,0.68194580078125,0.750419081373629,0.8586175388554461
supervised_from_scratch,full,1%,42,7,0.8723087860996905,0.59893798828125,0.7096588900671615,0.8481766527915596
supervised_from_scratch,full,5%,42,3,0.8984708773193784,0.632232666015625,0.7264555669050051,0.8790620642678483
supervised_from_scratch,full,10%,42,1,0.8868685236029992,0.778076171875,0.8057692307692308,0.8832311137703232
simclr,frozen,1%,42,5,0.8750533159337792,0.74169921875,0.7089608692662128,0.8495342773466542
simclr,frozen,5%,42,8,0.8985869257973816,0.801666259765625,0.790226267712469,0.8916100736293704
simclr,frozen,10%,42,5,0.89564176283552,0.775604248046875,0.7502123178313007,0.8788630182455773
simclr,partial,1%,42,2,0.8800013437878428,0.7353515625,0.6979870446472104,0.8398634946097107
simclr,partial,5%,42,4,0.91130625659193,0.825592041015625,0.8177789114561744,0.9109893856140967
simclr,partial,10%,42,4,0.9287472850387511,0.780242919921875,0.7393680553042093,0.9065631774127323
simclr,full,1%,42,2,0.8811804177820459,0.747772216796875,0.710416593672261,0.8584264612305783
simclr,full,5%,42,7,0.9368279754604939,0.813385009765625,0.8227484854633468,0.8964638558280802
simclr,full,10%,42,3,0.9398196841010038,0.75848388671875,0.7016737032569361,0.9044766829138899
simclr,peft,1%,42,5,0.8767411048216692,0.736328125,0.6930946291560103,0.8476438281481995
simclr,peft,5%,42,5,0.9005330749598959,0.733489990234375,0.6700668706789074,0.8820340548443372
simclr,peft,10%,42,3,0.8981944028054947,0.7791748046875,0.7532564959421674,0.8855414032620519
mae,frozen,1%,42,15,0.7948428442315756,0.690399169921875,0.687124132613724,0.7545269726657184
mae,frozen,5%,42,15,0.8260951260902114,0.7208251953125,0.6893085178644206,0.7966688854127206
mae,frozen,10%,42,15,0.8365386974856515,0.72991943359375,0.7088815789473685,0.8072937058560238
mae,partial,1%,42,12,0.8783017587583353,0.751983642578125,0.7618182351044811,0.8282783332677124
mae,partial,5%,42,7,0.8944942923680537,0.766876220703125,0.7558878982520052,0.8527699700956365
mae,partial,10%,42,3,0.8887013363011207,0.7528076171875,0.7417585921061022,0.8405293475312666
mae,full,1%,42,15,0.7245129515059817,0.62567138671875,0.6474476891239366,0.7100726991652037
mae,full,5%,42,10,0.8356653341081,0.754638671875,0.754548784955428,0.8231841338277703
mae,full,10%,42,8,0.8597759304552688,0.76092529296875,0.7677713879172349,0.8361585884234713
mae,peft,1%,42,10,0.8267057147204349,0.74029541015625,0.7653967028725809,0.8187090069679221
mae,peft,5%,42,14,0.8348068439645315,0.7479248046875,0.738342625443487,0.8220695770584393
mae,peft,10%,42,11,0.8468078562310624,0.7510986328125,0.7584838614154575,0.819618775178939
