method,strategy,label_fraction,seed,best_epoch,best_val_auc,test_accuracy,test_f1,test_auc
supervised_from_scratch,frozen,1%,62,3,0.8260333868023456,0.5841064453125,0.31331250629849844,0.8315525511133486
supervised_from_scratch,frozen,5%,62,8,0.835979584959919,0.770172119140625,0.7832369110324382,0.8407906655175336
supervised_from_scratch,frozen,10%,62,13,0.8477422510907295,0.760406494140625,0.7523421974070219,0.8398766448868648
supervised_from_scratch,partial,1%,62,5,0.8539549378300496,0.749359130859375,0.7722470258728266,0.8290650458044828
supervised_from_scratch,partial,5%,62,4,0.8619204142395154,0.700286865234375,0.7525884872150145,0.8444896931946091
supervised_from_scratch,partial,10%,62,2,0.8697020325174827,0.78509521484375,0.7892373997366215,0.8602499893018957
supervised_from_scratch,full,1%,62,4,0.8582554370443276,0.759063720703125,0.7563948285969947,0.8302818115197449
supervised_from_scratch,full,5%,62,2,0.8756954764257453,0.8043212890625,0.8097216452014956,0.8750181174870124
supervised_from_scratch,full,10%,62,2,0.8945337953794894,0.720062255859375,0.7704397006932105,0.8757180717221853
simclr,frozen,1%,62,3,0.8615326335461532,0.745391845703125,0.7305841702457455,0.8318920573693173
simclr,frozen,5%,62,4,0.9017544980897088,0.78955078125,0.7694570740839797,0.8914296130837911
simclr,frozen,10%,62,2,0.9026508577035479,0.779388427734375,0.7539398890363865,0.8836940035261445
simclr,partial,1%,62,3,0.87166346283361,0.785369873046875,0.7848511731775215,0.8702136041241385
simclr,partial,5%,62,3,0.9113807494218225,0.825164794921875,0.8175535810961434,0.9142034530489489
simclr,partial,10%,62,3,0.9178087674341078,0.8084716796875,0.7966167606455377,0.9015806342566426
simclr,full,1%,62,2,0.8658380967139145,0.753265380859375,0.7302932248056844,0.8372323141410327
simclr,full,5%,62,2,0.9326548663800394,0.8299560546875,0.8394513916901977,0.9124130893805673
simclr,full,10%,62,2,0.9278241442905085,0.757476806640625,0.7272914450430664,0.8663829954444123
simclr,peft,1%,62,5,0.8826338428728828,0.751434326171875,0.7218142696130332,0.845310486555896
simclr,peft,5%,62,3,0.8985871306885198,0.7698974609375,0.7374651810584958,0.8809906380941767
simclr,peft,10%,62,9,0.9025951440777906,0.77642822265625,0.7484203296703297,0.8778659720548713
mae,frozen,1%,62,15,0.7833100678204196,0.695220947265625,0.7263460748047678,0.7578354538751291
mae,frozen,5%,62,15,0.8234809293717484,0.702239990234375,0.6424304613918715,0.7926816487364501
mae,frozen,10%,62,15,0.836586045965032,0.727142333984375,0.7001173905752138,0.8081296332119108
mae,partial,1%,62,11,0.8703387335919405,0.748779296875,0.7653497520095776,0.8216747614073132
mae,partial,5%,62,5,0.8820000270381797,0.74530029296875,0.7083245963514364,0.846361473097325
mae,partial,10%,62,11,0.9024096747568875,0.742156982421875,0.7291553133514986,0.8153269661628505
mae,full,1%,62,15,0.7035378061086177,0.60614013671875,0.4782925054571914,0.6996295388111747
mae,full,5%,62,13,0.8344586799040549,0.752288818359375,0.7704663065916353,0.8321494600747658
mae,full,10%,62,10,0.8583453060228149,0.763580322265625,0.7663117251364966,0.8387356068866132
mae,peft,1%,62,11,0.8275155376307515,0.596435546875,0.7043066052502124,0.7950158527336151
mae,peft,5%,62,15,0.8313569633488236,0.745330810546875,0.7441675097335908,0.8142222255352476
mae,peft,10%,62,14,0.8416199250686286,0.728668212890625,0.7070221109170594,0.8136643613485757
