method,strategy,label_fraction,seed,best_epoch,best_val_auc,test_accuracy,test_f1,test_auc
supervised_from_scratch,frozen,1%,42,3,0.799451279925324,0.70220947265625,0.755303676212448,0.8254354370621458
supervised_from_scratch,frozen,5%,42,15,0.8375043270680071,0.760772705078125,0.7894270287694415,0.8534666162724205
supervised_from_scratch,frozen,10%,42,13,0.8456395371589656,0.779052734375,0.7879444672251186,0.8491230629646409
supervised_from_scratch,partial,1%,42,7,0.8668152374529408,0.77703857421875,0.7671171745505546,0.8544634035554035
supervised_from_scratch,partial,5%,42,3,0.8873934006821929,0.76318359375,0.7931769722814499,0.8762674049925165
supervised_from_scratch,partial,10%,42,5,0.882583041046501,0.68194580078125,0.750419081373629,0.8586175388554461
supervised_from_scratch,full,1%,42,7,0.8723087860996905,0.59893798828125,0.7096588900671615,0.8481766527915596
supervised_from_scratch,full,5%,42,3,0.8984708773193784,0.632232666015625,0.7264555669050051,0.8790620642678483
supervised_from_scratch,full,10%,42,1,0.8868685236029992,0.778076171875,0.8057692307692308,0.8832311137703232
simclr,frozen,1%,42,5,0.8750533159337792,0.74169921875,0.7089608692662128,0.8495342773466542
simclr,frozen,5%,42,8,0.8985869257973816,0.801666259765625,0.790226267712469,0.8916100736293704
simclr,frozen,10%,42,5,0.89564176283552,0.775604248046875,0.7502123178313007,0.8788630182455773
simclr,partial,1%,42,2,0.8800013437878428,0.7353515625,0.6979870446472104,0.8398634946097107
simclr,partial,5%,42,4,0.91130625659193,0.825592041015625,0.8177789114561744,0.9109893856140968
simclr,partial,10%,42,4,0.9287472850387511,0.780242919921875,0.7393680553042093,0.9065631774127324
simclr,full,1%,42,2,0.8811804177820459,0.747772216796875,0.710416593672261,0.8584264612305783
simclr,full,5%,42,7,0.936827975460494,0.813385009765625,0.8227484854633468,0.8964638558280802
simclr,full,10%,42,3,0.9398196841010038,0.75848388671875,0.7016737032569361,0.90447668291389
simclr,peft,1%,42,5,0.8767411048216692,0.736328125,0.6930946291560103,0.8476438281481995
simclr,peft,5%,42,5,0.9005330749598959,0.733489990234375,0.6700668706789074,0.8820340548443372
